Random Search, 5, -, 217.42970263115848, 5.0033005
Random Search, 10, -, 216.97456404692204, 10.0037915
Random Search, 30, -, 218.25536902052346, 30.0039585
Random Search, 60, -, 217.48632126458602, 60.0021975
Random Search, 300, -, 219.09346839090168, 300.007343
Random Search, 1200, -, 219.56754355154305, 1200.006484
Local Search, 5, -, 209.57592900145505, 6.2476425
Local Search, 10, -, 213.78302933937994, 12.6280235
Local Search, 30, -, 221.02603066483374, 31.171065
Local Search, 60, -, 222.0873557621069, 61.662528
Local Search, 300, -, 222.5610671576133, 301.9857255
Local Search, 1200, -, 222.5610671576133, 1203.6281505
Tabu Search, 5, 10, 10, 210.32656127704138, 6.0831315
Tabu Search, 5, 10, 25, 208.3300101232198, 6.0776955
Tabu Search, 5, 10, 50, 209.8943821896321, 6.10752
Tabu Search, 5, 25, 10, 211.3631168370124, 6.100218
Tabu Search, 5, 25, 25, 209.36332523113225, 6.0858295
Tabu Search, 5, 25, 50, 211.05656853158467, 6.066707
Tabu Search, 5, 50, 10, 211.94466591573186, 6.044308
Tabu Search, 5, 50, 25, 214.39769227905407, 6.08888
Tabu Search, 5, 50, 50, 213.28625353879784, 6.1065195
Tabu Search, 10, 10, 10, 216.06439461417716, 12.0550185
Tabu Search, 10, 10, 25, 214.05516469128142, 12.0554405
Tabu Search, 10, 10, 50, 215.35363461744657, 12.038259
Tabu Search, 10, 25, 10, 215.76563119952291, 12.0967775
Tabu Search, 10, 25, 25, 215.19890995736773, 12.0879805
Tabu Search, 10, 25, 50, 214.14878896740288, 12.0819315
Tabu Search, 10, 50, 10, 215.1422594211915, 12.086835
Tabu Search, 10, 50, 25, 215.5925199800597, 12.06505
Tabu Search, 10, 50, 50, 215.58137085050151, 12.232347
Tabu Search, 30, 10, 10, 220.00692364789356, 31.6535075
Tabu Search, 30, 10, 25, 220.14282880700324, 31.1135115
Tabu Search, 30, 10, 50, 220.50618474329536, 30.869281
Tabu Search, 30, 25, 10, 219.42765912191305, 30.765921
Tabu Search, 30, 25, 25, 219.04882116713435, 30.6666445
Tabu Search, 30, 25, 50, 219.181716612222, 30.846763
Tabu Search, 30, 50, 10, 220.60316237458187, 30.694077
Tabu Search, 30, 50, 25, 220.24087659252493, 30.8583455
Tabu Search, 30, 50, 50, 220.03431601613764, 31.065225
Tabu Search, 60, 10, 10, 221.92294559858732, 61.310807
Tabu Search, 60, 10, 25, 222.19413124345397, 65.201562
Tabu Search, 60, 10, 50, 222.21061125502925, 60.126015
Tabu Search, 60, 25, 10, 222.11270303094798, 65.629394
Tabu Search, 60, 25, 25, 222.22101962189714, 65.4517915
Tabu Search, 60, 25, 50, 221.71631009063424, 62.672418
Tabu Search, 60, 50, 10, 222.04576519727408, 62.789525
Tabu Search, 60, 50, 25, 222.2111485521637, 62.869437
Tabu Search, 60, 50, 50, 221.89103095730752, 63.165152
Tabu Search, 300, 10, 10, 222.5610671576133, 302.3702075
Tabu Search, 300, 10, 25, 222.5610671576133, 303.2551335
Tabu Search, 300, 10, 50, 222.5610671576133, 303.340534
Tabu Search, 300, 25, 10, 222.5610671576133, 304.0507315
Tabu Search, 300, 25, 25, 222.5610671576133, 300.8194085
Tabu Search, 300, 25, 50, 222.5610671576133, 302.5370765
Tabu Search, 300, 50, 10, 222.5610671576133, 302.2152895
Tabu Search, 300, 50, 25, 222.5610671576133, 302.6214735
Tabu Search, 300, 50, 50, 222.5610671576133, 303.530859
Tabu Search, 1200, 10, 10, 222.5610671576133, 1201.9961955
Tabu Search, 1200, 10, 25, 222.5610671576133, 1204.699215
Tabu Search, 1200, 10, 50, 222.5610671576133, 1202.079626
Tabu Search, 1200, 25, 10, 222.5610671576133, 1202.228377
Tabu Search, 1200, 25, 25, 222.5610671576133, 1202.2180845
Tabu Search, 1200, 25, 50, 222.5610671576133, 1203.6532125
Tabu Search, 1200, 50, 10, 222.5610671576133, 1203.517828
Tabu Search, 1200, 50, 25, 222.5610671576133, 1201.6916595
Tabu Search, 1200, 50, 50, 222.5610671576133, 1204.3742535
Genetic Algorithm PMX Transposition, 5, 10, 220.47235029161524, 5.1528335
Genetic Algorithm PMX Transposition, 5, 25, 220.7302949293745, 5.3400645
Genetic Algorithm PMX Transposition, 5, 50, 219.07541533002774, 5.934162
Genetic Algorithm PMX Transposition, 10, 10, 221.7550814982372, 10.11695
Genetic Algorithm PMX Transposition, 10, 25, 221.3423100810049, 10.323041
Genetic Algorithm PMX Transposition, 10, 50, 221.2464707241445, 10.901845
Genetic Algorithm PMX Transposition, 30, 10, 222.50951267450148, 30.140858
Genetic Algorithm PMX Transposition, 30, 25, 222.5424700314132, 30.372463
Genetic Algorithm PMX Transposition, 30, 50, 222.26290396513687, 30.7933775
Genetic Algorithm PMX Transposition, 60, 10, 222.5610671576133, 60.1488865
Genetic Algorithm PMX Transposition, 60, 25, 222.5610671576133, 60.355111
Genetic Algorithm PMX Transposition, 60, 50, 222.54086618301247, 60.7325545
Genetic Algorithm PMX Transposition, 300, 10, 222.5610671576133, 300.1262525
Genetic Algorithm PMX Transposition, 300, 25, 222.5610671576133, 300.3709965
Genetic Algorithm PMX Transposition, 300, 50, 222.5610671576133, 300.7529255
Genetic Algorithm PMX Transposition, 1200, 10, 222.5610671576133, 1200.112915
Genetic Algorithm PMX Transposition, 1200, 25, 222.5610671576133, 1200.401912
Genetic Algorithm PMX Transposition, 1200, 50, 222.5610671576133, 1200.6588825
Genetic Algorithm PMX Insertion, 5, 10, 220.38205895155284, 5.145802
Genetic Algorithm PMX Insertion, 5, 25, 220.0890088925966, 5.346419
Genetic Algorithm PMX Insertion, 5, 50, 219.1112173052988, 5.8717585
Genetic Algorithm PMX Insertion, 10, 10, 221.26643410857866, 10.1307335
Genetic Algorithm PMX Insertion, 10, 25, 220.50155929363245, 10.336938
Genetic Algorithm PMX Insertion, 10, 50, 220.821755231631, 10.7483755
Genetic Algorithm PMX Insertion, 30, 10, 221.85443194992504, 30.139359
Genetic Algorithm PMX Insertion, 30, 25, 222.33466130372244, 30.3878645
Genetic Algorithm PMX Insertion, 30, 50, 222.24344092110834, 30.841019
Genetic Algorithm PMX Insertion, 60, 10, 222.09096958650778, 60.1241135
Genetic Algorithm PMX Insertion, 60, 25, 222.5610671576133, 60.387208
Genetic Algorithm PMX Insertion, 60, 50, 222.5610671576133, 60.856302
Genetic Algorithm PMX Insertion, 300, 10, 222.3410516786479, 300.14518
Genetic Algorithm PMX Insertion, 300, 25, 222.1903607180551, 300.339689
Genetic Algorithm PMX Insertion, 300, 50, 222.1903607180551, 300.679853
Genetic Algorithm PMX Insertion, 1200, 10, 222.5610671576133, 1200.1567725
Genetic Algorithm PMX Insertion, 1200, 25, 222.3410516786479, 1200.4586825
Genetic Algorithm PMX Insertion, 1200, 50, 222.5610671576133, 1200.905509
Genetic Algorithm PMX Inversion, 5, 10, 219.37435826188897, 5.1243215
Genetic Algorithm PMX Inversion, 5, 25, 219.85138011194414, 5.413427
Genetic Algorithm PMX Inversion, 5, 50, 218.14004207084548, 5.7363555
Genetic Algorithm PMX Inversion, 10, 10, 220.53577986778868, 10.1438385
Genetic Algorithm PMX Inversion, 10, 25, 221.9153863496532, 10.4143415
Genetic Algorithm PMX Inversion, 10, 50, 220.29167068457616, 10.718968
Genetic Algorithm PMX Inversion, 30, 10, 221.8065171528101, 30.1283755
Genetic Algorithm PMX Inversion, 30, 25, 222.53505881713696, 30.308273
Genetic Algorithm PMX Inversion, 30, 50, 222.4299574475996, 30.884118
Genetic Algorithm PMX Inversion, 60, 10, 221.27839340262653, 60.1355095
Genetic Algorithm PMX Inversion, 60, 25, 222.1903607180551, 60.3642895
Genetic Algorithm PMX Inversion, 60, 50, 222.55569092561765, 60.8526895
Genetic Algorithm PMX Inversion, 300, 10, 221.15262117299272, 300.148287
Genetic Algorithm PMX Inversion, 300, 25, 222.09096958650778, 300.3598815
Genetic Algorithm PMX Inversion, 300, 50, 221.8709541075424, 300.702138
Genetic Algorithm PMX Inversion, 1200, 10, 221.8709541075424, 1200.1737085
Genetic Algorithm PMX Inversion, 1200, 25, 222.5610671576133, 1200.3677375
Genetic Algorithm PMX Inversion, 1200, 50, 222.5610671576133, 1200.771921
Genetic Algorithm OX Transposition, 5, 10, 221.55721339156085, 5.1298305
Genetic Algorithm OX Transposition, 5, 25, 221.27600577391303, 5.3992765
Genetic Algorithm OX Transposition, 5, 50, 219.87502212107012, 5.9224635
Genetic Algorithm OX Transposition, 10, 10, 222.35875982723465, 10.136632
Genetic Algorithm OX Transposition, 10, 25, 222.2440412572372, 10.4095725
Genetic Algorithm OX Transposition, 10, 50, 221.94677424886794, 10.7537005
Genetic Algorithm OX Transposition, 30, 10, 222.55481333876787, 30.1298805
Genetic Algorithm OX Transposition, 30, 25, 222.5610671576133, 30.3596185
Genetic Algorithm OX Transposition, 30, 50, 222.52421429955297, 30.750586
Genetic Algorithm OX Transposition, 60, 10, 222.5610671576133, 60.1311025
Genetic Algorithm OX Transposition, 60, 25, 222.5610671576133, 60.4051545
Genetic Algorithm OX Transposition, 60, 50, 222.5610671576133, 60.6168485
Genetic Algorithm OX Transposition, 300, 10, 222.5610671576133, 300.135706
Genetic Algorithm OX Transposition, 300, 25, 222.5610671576133, 300.406607
Genetic Algorithm OX Transposition, 300, 50, 222.5610671576133, 300.675557
Genetic Algorithm OX Transposition, 1200, 10, 222.5610671576133, 1200.1407385
Genetic Algorithm OX Transposition, 1200, 25, 222.5610671576133, 1200.4775065
Genetic Algorithm OX Transposition, 1200, 50, 222.5610671576133, 1200.7887685
Genetic Algorithm OX Insertion, 5, 10, 221.52844901497923, 5.156509
Genetic Algorithm OX Insertion, 5, 25, 221.29466521765465, 5.355077
Genetic Algorithm OX Insertion, 5, 50, 220.58077370897135, 5.870835
Genetic Algorithm OX Insertion, 10, 10, 221.71796447722423, 10.1443295
Genetic Algorithm OX Insertion, 10, 25, 222.1886133250689, 10.3738505
Genetic Algorithm OX Insertion, 10, 50, 221.75250762090388, 10.900636
Genetic Algorithm OX Insertion, 30, 10, 222.5610671576133, 30.133538
Genetic Algorithm OX Insertion, 30, 25, 222.02965942944246, 30.3802665
Genetic Algorithm OX Insertion, 30, 50, 222.5468254240581, 30.694042
Genetic Algorithm OX Insertion, 60, 10, 221.88826646875864, 60.1479915
Genetic Algorithm OX Insertion, 60, 25, 222.09096958650778, 60.4427815
